# Time-averaged data for fix print_thermo1
# TimeStep c_cTempAll c_cTempAlive v_vNumAlive v_vNumHeads v_vNumTails c_peAll c_peAlive
0 0 0 0 0 0 0 0
10000 1.38553 1.16798 9 2 2 1.00913 1.23285
20000 1.0082 1.03896 20 2 2 1.54106 1.67647
30000 1.09735 1.14367 34 2 2 1.39196 1.46344
40000 0.923856 0.935442 79 6 6 1.07053 1.09738
50000 0.955639 0.967257 128 7 7 1.21604 1.23496
60000 1.02013 1.02548 199 10 10 1.33844 1.35183
70000 0.989226 0.993946 261 11 11 1.4395 1.44574
80000 1.00892 1.01057 307 12 12 1.38136 1.39022
90000 0.96026 0.962601 359 15 15 1.3588 1.36153
100000 1.002 1.00335 434 17 17 1.44667 1.45331
110000 0.993012 0.996396 516 20 20 1.38379 1.38843
120000 1.02319 1.02373 634 23 23 1.36604 1.37034
130000 1.02761 1.02761 700 24 24 1.31949 1.32092
140000 0.948069 0.943678 812 28 28 1.28369 1.2858
150000 0.990958 0.990268 920 30 30 1.33345 1.33617
160000 0.968147 0.969449 1051 33 33 1.38128 1.3836
170000 0.972909 0.973832 1148 35 35 1.43723 1.43969
180000 0.968192 0.968311 1256 37 37 1.45547 1.45724
190000 0.99564 0.996711 1358 39 39 1.51956 1.5206
200000 0.993255 0.992687 1418 41 41 1.43908 1.44084
210000 1.01496 1.01628 1490 45 45 1.42596 1.42736
220000 0.997705 0.998662 1562 45 45 1.43485 1.4366
